INCIDENT_NO,OFFENSE,HOUR_FROM,HOUR_TO,LONGITUDE_X,LATITUDE_X
249000525,TELEPHONE HARASSMENT,180,181.0,-84.56087974,39.1055422
249000521,UNAUTHORIZED USE OF MOTOR VEHICLE,1750,1757.0,-84.56243836,39.1574965
249000560,THEFT,1730,1030.0,-84.60146569,39.13236859
249000517,AGGRAVATED MENACING,1530,1532.0,-84.48639402,39.15120177
249000592,THEFT,1430,140.0,-84.51173826,39.14649837
249000516,ROBBERY,1430,1435.0,-84.51963669,39.11109333
249000499,THEFT,1235,1237.0,-84.56635116,39.11068241
249000553,THEFT,120,170.0,-84.44144672,39.14479644
249000500,TELEPHONE HARASSMENT,110,110.0,-84.42918859,39.13409547
249000510,THEFT,915,1320.0,-84.47836255,39.17046672
249000519,THEFT,840,1030.0,-84.47795013,39.13597488
249000481,,815,845.0,-84.5841412,39.14209928
249000481,THEFT,815,845.0,-84.5834112,39.14222928
249000481,DOMESTIC VIOLENCE,815,845.0,-84.5830112,39.14125928
249000494,CRIMINAL DAMAGING/ENDANGERING,730,120.0,-84.51819023,39.11294764
249000494,THEFT,730,120.0,-84.51732023,39.11286764
249000482,ASSAULT,60,60.0,-84.55282116,39.1035187
249000482,ASSAULT,60,60.0,-84.55175116,39.1038087
249000474,FELONIOUS ASSAULT,455,52.0,-84.56737757,39.19551192
249000473,CRIMINAL DAMAGING/ENDANGERING,430,446.0,-84.50996307,39.1303425
249000473,THEFT,430,446.0,-84.50983307,39.1299825
249000472,,350,46.0,-84.51138778,39.15265856
249000470,CRIMINAL DAMAGING/ENDANGERING,330,340.0,-84.51495211,39.11048213
249000471,AGGRAVATED ROBBERY,315,315.0,-84.56517075,39.08893081
249000469,CRIMINAL DAMAGING/ENDANGERING,30,330.0,-84.45261308,39.20661739
249000469,THEFT,30,330.0,-84.45222308,39.20637739
249000467,FELONIOUS ASSAULT,250,254.0,-84.49009419,39.14131946
249000489,CRIMINAL DAMAGING/ENDANGERING,20,25.0,-84.50672777,39.13150346
249000503,CRIMINAL DAMAGING/ENDANGERING,130,120.0,-84.55218615,39.14820244
249000505,CRIMINAL DAMAGING/ENDANGERING,110,130.0,-84.4544891,39.20368533
249000506,THEFT,50,1255.0,-84.51153333,39.1158512
249000475,CRIMINAL DAMAGING/ENDANGERING,30,156.0,-84.51531569,39.10251054
249000475,THEFT,30,156.0,-84.51369569,39.10289054
249000541,THEFT,0,200.0,-84.5601216,39.1797058
249000527,AGGRAVATED MENACING,0,1735.0,-84.58359912,39.10685808
249000492,CRIMINAL DAMAGING/ENDANGERING,0,1041.0,-84.55160615,39.14845244
249000488,CRIMINAL DAMAGING/ENDANGERING,0,100.0,-84.51521211,39.11075213
249000498,CRIMINAL DAMAGING/ENDANGERING,0,1026.0,-84.45484804,39.2039439
249000465,AGGRAVATED MENACING,2315,2328.0,-84.57363558,39.11001891
249000496,THEFT,230,120.0,-84.5144736,39.11076402
249000460,CRIMINAL DAMAGING/ENDANGERING,2235,2241.0,-84.60551057,39.13844298
249000457,ASSAULT,2210,2217.0,-84.51201164,39.1021184
249000508,THEFT,220,1330.0,-84.57940821,39.20304448
249000484,THEFT,2155,1040.0,-84.51878289,39.11542849
249000484,CRIMINAL DAMAGING/ENDANGERING,2155,1040.0,-84.51830289,39.11520849
249000456,THEFT,2145,2211.0,-84.58403889,39.14701514
249000456,ASSAULT,2145,2211.0,-84.58402889,39.14549514
249000479,THEFT,210,848.0,-84.52036597,39.1165972
249000522,THEFT,2050,60.0,-84.5506561,39.11592132
249000497,CRIMINAL DAMAGING/ENDANGERING,2030,1229.0,-84.51943796,39.11284081
249000497,THEFT,2030,1229.0,-84.51845796,39.11224081
249000452,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,200,2042.0,-84.46188068,39.18512423
249000480,CRIMINAL DAMAGING/ENDANGERING,1930,1935.0,-84.48844872,39.14686062
249000445,AGGRAVATED MENACING,1850,190.0,-84.51283999,39.18594956
249000448,THEFT,1850,1859.0,-84.46818915,39.14666641
249000523,THEFT,170,1830.0,-84.52092237,39.1233977
249000487,CRIMINAL DAMAGING/ENDANGERING,170,1130.0,-84.52008241,39.11489209
249000595,THEFT,1530,1530.0,-84.51379228,39.09928336
249000442,CRIMINAL DAMAGING/ENDANGERING,120,150.0,-84.59634564,39.13077878
249000551,UNAUTHORIZED USE OF MOTOR VEHICLE,1144,1245.0,-84.51516457,39.11235479
249000413,CRIMINAL DAMAGING/ENDANGERING,1130,1145.0,-84.45765474,39.20682768
249000413,BURGLARY,1130,1145.0,-84.45735474,39.20652768
249000422,THEFT,110,120.0,-84.52063498,39.10528152
249000436,THEFT,1018,1018.0,-84.4765719,39.13509683
249000416,TELEPHONE HARASSMENT,1011,1015.0,-84.49677904,39.14850572
249000403,THEFT,910,912.0,-84.40492069,39.15113447
249000622,CRIMINAL DAMAGING/ENDANGERING,90,160.0,-84.49330373,39.1574277
249000395,DOMESTIC VIOLENCE,845,850.0,-84.52821956,39.11574132
249000433,THEFT,80,150.0,-84.60009027,39.12427592
249000389,THEFT,645,710.0,-84.56530876,39.18807212
249000386,CRIMINAL DAMAGING/ENDANGERING,55,510.0,-84.57026412,39.1098544
249000384,DOMESTIC VIOLENCE,50,516.0,-84.55897684,39.14364989
249000451,THEFT,40,50.0,-84.53695125,39.11926432
249000451,CRIMINAL DAMAGING/ENDANGERING,40,50.0,-84.53626125,39.11939432
249000380,BREAKING AND ENTERING,135,138.0,-84.51582167,39.10990594
249000379,THEFT,115,119.0,-84.5558544,39.11468624
249000568,BURGLARY,0,1342.0,-84.57226121,39.11404071
249000397,CRIMINAL DAMAGING/ENDANGERING,0,50.0,-84.55971238,39.13065487
249000397,THEFT,0,50.0,-84.55884238,39.12994487
249000393,THEFT,0,630.0,-84.54971861,39.1359709
249000438,THEFT,2330,231.0,-84.55155412,39.12410683
249000418,CRIMINAL DAMAGING/ENDANGERING,230,122.0,-84.55149349,39.11674184
249000418,THEFT,230,122.0,-84.55004349,39.11673184
249000394,THEFT,230,630.0,-84.57106329,39.18238168
249000390,THEFT,230,615.0,-84.5509261,39.11571132
249000402,CRIMINAL DAMAGING/ENDANGERING,2118,90.0,-84.45905355,39.1988596
249000378,THEFT,210,210.0,-84.61068878,39.13140603
249000370,CRIMINAL DAMAGING/ENDANGERING,210,2110.0,-84.57510586,39.11362538
249000411,TELEPHONE HARASSMENT,2026,2027.0,-84.50193029,39.11653954
249000447,THEFT,2010,2010.0,-84.46954773,39.1437871
249000513,THEFT,1830,80.0,-84.53567125,39.11790432
249000361,ASSAULT,1820,1840.0,-84.51559445,39.10488423
249000344,FELONIOUS ASSAULT,1556,1556.0,-84.57831959,39.10705778
249000344,CRIMINAL DAMAGING/ENDANGERING,1556,1556.0,-84.57668959,39.10608778
249000338,ASSAULT,1535,1541.0,-84.58066788,39.14099688
249000366,BURGLARY,1531,1938.0,-84.41624217,39.14175253
249000311,THEFT,1256,1256.0,-84.55002222,39.1921591
249000582,THEFT,120,140.0,-84.49671595,39.14920115
249000351,THEFT,1154,1720.0,-84.59657339,39.1138639
249000313,ASSAULT,820,850.0,-84.51193259,39.18107989
249000391,THEFT,89,89.0,-84.50183286,39.15839945
249000340,ROBBERY,80,815.0,-84.6010925,39.12747865
249000295,THEFT,730,80.0,-84.56590515,39.18891078
249000440,ASSAULT,70,80.0,-84.49363876,39.14268638
249000292,AGGRAVATED MENACING,50,527.0,-84.51717165,39.14508426
249000339,MENACING,358,359.0,-84.48890312,39.1281959
249000291,ASSAULT,330,338.0,-84.52335398,39.11662883
249000299,CRIMINAL DAMAGING/ENDANGERING,230,911.0,-84.5835561,39.14167583
249000314,THEFT,120,125.0,-84.61086113,39.1122535
249000359,CRIMINAL DAMAGING/ENDANGERING,10,50.0,-84.57818774,39.15260891
249000289,THEFT,0,330.0,-84.56847058,39.1356163
249000307,THEFT,220,100.0,-84.5677945,39.12161801
249000269,BURGLARY,2140,2226.0,-84.55938913,39.11937664
249000369,ASSAULT,2030,2043.0,-84.4929751,39.13851513
249000346,CRIMINAL DAMAGING/ENDANGERING,200,70.0,-84.48028992,39.14692028
249000260,DOMESTIC VIOLENCE,190,1930.0,-84.49401224,39.14812539
249000256,THEFT,1830,190.0,-84.50089262,39.14696445
249000251,ASSAULT,1815,1848.0,-84.52904956,39.11546132
249000262,THEFT,180,1815.0,-84.43632148,39.1768667
249000246,THEFT,180,1810.0,-84.61928086,39.14504619
249000244,CRIMINAL DAMAGING/ENDANGERING,1730,1755.0,-84.57271581,39.1872598
249000250,THEFT,164,1615.0,-84.61206543,39.14882387
249000329,TAKING THE IDENTITY OF ANOTHER,1516,1520.0,-84.51282253,39.17492223
249000415,ASSAULT,150,155.0,-84.5873083,39.1157778
249000277,THEFT,140,230.0,-84.58104315,39.10554117
249000241,CRIMINAL DAMAGING/ENDANGERING,140,160.0,-84.52502563,39.11808313
249000245,THEFT,140,1430.0,-84.42750249,39.162753
249000414,THEFT,1341,1341.0,-84.56037735,39.11789858
249000330,TAKING THE IDENTITY OF ANOTHER,130,135.0,-84.51189351,39.1863047
249000239,TAKING THE IDENTITY OF ANOTHER,100,1030.0,-84.53079201,39.15050625
249000266,ASSAULT,240,240.0,-84.51538958,39.20047409
249000231,BREAKING AND ENTERING,20,25.0,-84.56144243,39.10233064
249000217,CRIMINAL DAMAGING/ENDANGERING,20,110.0,-84.46796645,39.14549248
249000202,THEFT,120,142.0,-84.46223865,39.2145685
249000224,CRIMINAL DAMAGING/ENDANGERING,15,20.0,-84.60282767,39.12402246
249000211,CRIMINAL DAMAGING/ENDANGERING,0,100.0,-84.55146289,39.19985071
249000191,CRIMINAL DAMAGING/ENDANGERING,2310,2317.0,-84.50815854,39.10878128
249000226,ASSAULT,230,2330.0,-84.52896103,39.12155064
249000206,THEFT,230,530.0,-84.5496457,39.19890866
249000198,AGGRAVATED MENACING,230,2315.0,-84.54684405,39.16396849
249000209,THEFT,2230,230.0,-84.5500957,39.19770866
249000236,THEFT,200,1639.0,-84.54886151,39.11520675
249000207,THEFT,200,530.0,-84.43700193,39.17787238
249000190,ASSAULT,200,213.0,-84.5520838,39.12171295
249000186,THEFT,1935,1940.0,-84.52483903,39.12074527
249000184,ROBBERY,1845,1858.0,-84.48778213,39.15343726
249000182,DOMESTIC VIOLENCE,1820,1843.0,-84.46249303,39.20441958
249000179,DOMESTIC VIOLENCE,181,181.0,-84.52626122,39.10682807
249000248,THEFT,180,1615.0,-84.5155705,39.19938406
249000213,THEFT,180,80.0,-84.47901269,39.12651428
249000185,THEFT,180,1838.0,-84.40770214,39.16609912
249000176,THEFT,180,185.0,-84.44272779,39.14513836
249000290,TELEPHONE HARASSMENT,170,1715.0,-84.43496054,39.18773823
249000167,CRIMINAL DAMAGING/ENDANGERING,1645,1652.0,-84.49079744,39.1490485
249000150,THEFT,1240,1430.0,-84.51052091,39.09655211
249000139,MENACING,1222,1322.0,-84.6174316,39.14360554
249000125,DOMESTIC VIOLENCE,1210,1220.0,-84.55927939,39.15334233
249000123,THEFT,1130,1143.0,-84.51487712,39.12728625
249000121,BURGLARY,1125,1127.0,-84.56863284,39.1318849
249000325,THEFT,80,110.0,-84.45815265,39.18723331
249000162,BURGLARY,60,160.0,-84.52805925,39.11235715
249000162,CRIMINAL DAMAGING/ENDANGERING,60,160.0,-84.52702925,39.11058715
249000104,UNAUTHORIZED USE OF MOTOR VEHICLE,511,511.0,-84.51176875,39.16378801
249000103,BREAKING AND ENTERING,55,59.0,-84.5798858,39.14044687
249000297,ASSAULT,30,330.0,-84.58761894,39.10696469
249000137,BURGLARY,258,35.0,-84.55771119,39.10408888
249000137,THEFT,258,35.0,-84.55613119,39.10307888
249000117,THEFT,136,140.0,-84.61468897,39.11735734
249000102,THEFT,20,23.0,-84.55310341,39.12976949
249000107,THEFT,1,545.0,-84.49102313,39.12158981
249000106,THEFT,1,545.0,-84.48970256,39.12219185
249000410,THEFT,0,1130.0,-84.51087797,39.16610058
249000166,MENACING,0,140.0,-84.5418544,39.19459418
249000168,TAKING THE IDENTITY OF ANOTHER,0,1430.0,-84.59767505,39.11359449
249000097,BURGLARY,2330,2335.0,-84.55401745,39.20082191
249000175,THEFT,230,2330.0,-84.52557137,39.14153173
249000114,THEFT,230,755.0,-84.56126365,39.10589214
249000091,THEFT,220,2215.0,-84.50991287,39.12858978
249000105,THEFT,2130,620.0,-84.58802816,39.12849649
249000090,UNAUTHORIZED USE OF MOTOR VEHICLE,2030,2050.0,-84.54857389,39.15699973
249000090,MENACING,2030,2050.0,-84.54808389,39.15726973
249000083,DOMESTIC VIOLENCE,1930,200.0,-84.52714567,39.13930959
249000083,AGGRAVATED MENACING,1930,200.0,-84.52667567,39.13890959
249000119,THEFT,1830,190.0,-84.50201062,39.12676301
249000136,THEFT,180,1150.0,-84.53236914,39.1209284
249000130,BURGLARY,180,110.0,-84.54409004,39.12134634
249000096,CRIMINAL DAMAGING/ENDANGERING,180,2246.0,-84.51355392,39.10375528
249000073,ASSAULT,1740,1743.0,-84.44317728,39.14255747
249000073,AGGRAVATED MENACING,1740,1743.0,-84.44290728,39.14431747
249000078,TELEPHONE HARASSMENT,1730,1810.0,-84.48168379,39.18612105
249000076,THEFT,178,188.0,-84.42493275,39.1618993
249000081,THEFT,1630,1715.0,-84.51050488,39.13282745
249000112,CRIMINAL DAMAGING/ENDANGERING,140,730.0,-84.47998188,39.21638892
249000070,TELEPHONE HARASSMENT,140,1651.0,-84.60498857,39.12993594
249000069,CRIMINAL DAMAGING/ENDANGERING,139,139.0,-84.52704225,39.11487637
249000066,TELEPHONE HARASSMENT,120,1530.0,-84.60068661,39.13197424
249000061,VIOLATE PROTECTION ORDER/CONSENT AGREEMENT,1125,1125.0,-84.56036874,39.15253231
249000041,VIOLATE PROTECTION ORDER/CONSENT AGREEMENT,1020,1029.0,-84.52957504,39.11227632
249000046,DOMESTIC VIOLENCE,930,935.0,-84.58181993,39.14279066
249000028,THEFT,330,40.0,-84.51384089,39.11119352
249000019,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,320,346.0,-84.51009542,39.1791574
249000056,MURDER,20,60.0,-84.52971272,39.12994668
249000025,THEFT,20,210.0,-84.56721155,39.19179902
249000016,ASSAULT,20,20.0,-84.51150486,39.11091367
249000029,ASSAULT,20,210.0,-84.57257824,39.13457775
249000013,CRIMINAL DAMAGING/ENDANGERING,20,256.0,-84.51622328,39.10486864
249000012,CRIMINAL DAMAGING/ENDANGERING,20,219.0,-84.58362914,39.14696241
249000051,THEFT,130,1230.0,-84.55169696,39.12946696
249000042,BREAKING AND ENTERING,130,140.0,-84.45284104,39.20349831
249000034,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,130,20.0,-84.56484349,39.18324917
249000008,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,115,120.0,-84.5868705,39.14222718
249000007,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,40,40.0,-84.48604987,39.15793388
249000031,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,30,31.0,-84.56740376,39.10441266
249000020,FELONIOUS ASSAULT,15,22.0,-84.51039744,39.10594959
249000006,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,10,20.0,-84.51087083,39.11622625
249000171,THEFT,7,45.0,-84.59650547,39.12635764
249000002,CRIMINAL DAMAGING/ENDANGERING,2,3.0,-84.39393404,39.15174554
249000054,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,1,90.0,-84.48679221,39.1364364
249000003,CRIMINAL DAMAGING/ENDANGERING,1,5.0,-84.51620821,39.10652392
249000312,DOMESTIC VIOLENCE,0,90.0,-84.56130223,39.15546352
249000140,TELEPHONE HARASSMENT,0,140.0,-84.5422344,39.19517418
249000118,CRIMINAL DAMAGING/ENDANGERING,0,30.0,-84.57997822,39.11578302
249000098,CRIMINAL DAMAGING/ENDANGERING,0,2242.0,-84.51373392,39.10333528
249000074,CRIMINAL DAMAGING/ENDANGERING,0,10.0,-84.58991622,39.10891361
249000060,CRIMINAL DAMAGING/ENDANGERING,0,50.0,-84.5852763,39.14523731
249000050,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,0,15.0,-84.55024,39.17744534
249000036,THEFT,0,430.0,-84.55908684,39.14361989
249000030,ASSAULT,0,30.0,-84.56729512,39.19571592
249000009,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,0,55.0,-84.48462429,39.15885958
249000075,ASSAULT,2350,2350.0,-84.50970918,39.10292157
249000010,ROBBERY,2330,0.0,-84.56251203,39.18539196
249000001,DOMESTIC VIOLENCE,230,2325.0,-84.60953226,39.13870646
249000045,THEFT,2240,110.0,-84.5178293,39.19211514
249000021,MENACING,2230,2245.0,-84.51804994,39.11214302
249000004,BURGLARY,2225,2320.0,-84.48408155,39.15107849
249000082,BURGLARY,220,80.0,-84.53123778,39.1386336
249000057,THEFT,210,120.0,-84.46811881,39.17826003
239037824,CRIMINAL DAMAGING/ENDANGERING,210,2115.0,-84.53466892,39.19897432
249000405,CRIMINAL DAMAGING/ENDANGERING,200,80.0,-84.51609952,39.09942672
249000212,THEFT,200,2359.0,-84.56162714,39.11310122
249000079,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,200,205.0,-84.51322248,39.1925279
239037822,DOMESTIC VIOLENCE,200,2029.0,-84.54842899,39.17682128
239037822,ENDANGERING CHILDREN,200,2029.0,-84.54809899,39.17686128
239037826,DOMESTIC VIOLENCE,190,2029.0,-84.49056742,39.14733822
239037826,ASSAULT,190,2029.0,-84.49007742,39.14684822
249000048,BURGLARY,190,110.0,-84.51467359,39.1255893
239037815,ASSAULT,1850,1851.0,-84.51786329,39.12317364
239037819,THEFT,1830,1850.0,-84.57931539,39.11392006
239037812,THEFT,1745,1830.0,-84.60716485,39.12734993
239037805,CRIMINAL DAMAGING/ENDANGERING,175,1712.0,-84.49433224,39.14802539
249000067,CRIMINAL DAMAGING/ENDANGERING,170,1530.0,-84.58796473,39.14107306
239037804,ASSAULT,1650,1656.0,-84.55529473,39.16630292
239037799,ASSAULT,160,1618.0,-84.47111151,39.16846281
239037799,ROBBERY,160,1618.0,-84.46987151,39.16767281
239037796,THEFT,1530,1550.0,-84.4790873,39.19473413
249000441,,150,1530.0,-84.57417751,39.20448134
249000055,THEFT,1430,80.0,-84.60985196,39.14076413
239037790,MENACING,1340,1349.0,-84.51798329,39.11576951
249000520,TAKING THE IDENTITY OF ANOTHER,1318,0.0,-84.53254548,39.12851681
239037794,THEFT,130,1445.0,-84.50191875,39.11904078
239037816,THEFT,120,1943.0,-84.50857559,39.10828895
249000052,BURGLARY,1130,1134.0,-84.53412892,39.19785432
239037781,THEFT,1130,1134.0,-84.6108852,39.12971456
239037783,CRIMINAL DAMAGING/ENDANGERING,1130,1146.0,-84.54903133,39.20317443
239037783,THEFT,1130,1146.0,-84.54880133,39.20194443
239037778,DOMESTIC VIOLENCE,1120,1125.0,-84.48902916,39.14488312
249000561,BREAKING AND ENTERING,110,120.0,-84.40856207,39.18700701
239037773,THEFT,1046,1051.0,-84.5728038,39.19214999
249000227,BURGLARY,100,100.0,-84.50466743,39.11073144
239037767,THEFT,933,933.0,-84.53562892,39.19891432
239037770,THEFT,930,100.0,-84.49079325,39.13278607
239037795,THEFT,90,1529.0,-84.55281876,39.11624812
239037768,CRIMINAL DAMAGING/ENDANGERING,60,60.0,-84.55234289,39.19870071
239037768,THEFT,60,60.0,-84.55161289,39.19973071
239037801,THEFT,50,140.0,-84.58678889,39.10377849
239037801,DOMESTIC VIOLENCE,50,140.0,-84.58635889,39.10306849
239037765,FELONIOUS ASSAULT,50,70.0,-84.54812229,39.20619615
239037811,CRIMINAL DAMAGING/ENDANGERING,430,1718.0,-84.53579274,39.13526431
239037760,THEFT,330,40.0,-84.5542267,39.20243647
239037780,IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,315,315.0,-84.38969441,39.15873964
239037786,BURGLARY,313,330.0,-84.55098551,39.12935453
249000375,DOMESTIC VIOLENCE,30,170.0,-84.5925219,39.08163762
239037771,CRIMINAL DAMAGING/ENDANGERING,30,80.0,-84.54008654,39.20083072
239037755,ROBBERY,234,244.0,-84.5998425,39.12753865
239037752,THEFT,20,212.0,-84.53693323,39.13484812
239037752,CRIMINAL DAMAGING/ENDANGERING,20,212.0,-84.53555323,39.13476812
239037779,CRIMINAL DAMAGING/ENDANGERING,130,100.0,-84.38651743,39.09430023
239037748,CRIMINAL DAMAGING/ENDANGERING,120,134.0,-84.5263939,39.11189577
239037747,THEFT,119,120.0,-84.52623131,39.12118152
239037749,CRIMINAL DAMAGING/ENDANGERING,45,115.0,-84.50584548,39.12240908
239037745,BURGLARY,45,50.0,-84.50218245,39.15887634
239037744,ASSAULT,40,49.0,-84.57710242,39.14418024
239037774,THEFT,11,1011.0,-84.51335994,39.11475093
249000177,THEFT,0,180.0,-84.55098349,39.11643184
249000080,THEFT,0,170.0,-84.53304782,39.15107873
249000053,THEFT,0,1250.0,-84.5112837,39.16535293
239037758,CRIMINAL DAMAGING/ENDANGERING,0,40.0,-84.50297459,39.14205934
239037742,THEFT,2230,230.0,-84.51915943,39.18066956
239037743,ASSAULT,2220,42.0,-84.51742882,39.1134361
249000532,THEFT,2130,2145.0,-84.42785249,39.162033
239037750,THEFT,2130,20.0,-84.50512548,39.12329908
239037789,THEFT,210,140.0,-84.56583146,39.11534982
239037817,THEFT,2035,190.0,-84.51878457,39.11225311
239037753,CRIMINAL DAMAGING/ENDANGERING,2030,0.0,-84.51260594,39.10779947
239037736,ASSAULT,200,2027.0,-84.38652206,39.09540418
239037732,THEFT,1910,1915.0,-84.51886206,39.12798941
239037751,THEFT,190,40.0,-84.5152336,39.11066402
239037764,CRIMINAL DAMAGING/ENDANGERING,190,730.0,-84.50938915,39.12184297
239037756,THEFT,1830,335.0,-84.5511057,39.19798866
239037756,THEFT,1830,335.0,-84.5506057,39.19766866
239037809,CRIMINAL DAMAGING/ENDANGERING,180,220.0,-84.57455554,39.13536875
239037728,DOMESTIC VIOLENCE,1740,1745.0,-84.53025669,39.13832541
239037772,THEFT,1730,180.0,-84.42507514,39.15780491
239037724,THEFT,160,1610.0,-84.51292537,39.10593764
239037775,TELEPHONE HARASSMENT,150,150.0,-84.60052164,39.13342342
239037788,THEFT,150,160.0,-84.42183651,39.15995508
239037715,MENACING,1435,1445.0,-84.50078243,39.14672984
239037706,THEFT,1312,1314.0,-84.58158529,39.13956283
239037722,BREAKING AND ENTERING,1245,160.0,-84.52636496,39.11308883
239037709,CRIMINAL DAMAGING/ENDANGERING,1055,1058.0,-84.56413633,39.10291946
239037692,MENACING,1010,1020.0,-84.55322664,39.13837007
239037761,THEFT,100,220.0,-84.48145589,39.15655024
239037707,CRIMINAL DAMAGING/ENDANGERING,70,80.0,-84.53855894,39.13638926
249000341,CRIMINAL DAMAGING/ENDANGERING,330,335.0,-84.56015794,39.15437137
239037683,THEFT,37,37.0,-84.42585227,39.16307275
239037687,CRIMINAL DAMAGING/ENDANGERING,30,836.0,-84.54031202,39.19372665
239037696,CRIMINAL DAMAGING/ENDANGERING,224,224.0,-84.54087577,39.18020645
239037691,THEFT,20,930.0,-84.51123113,39.12918538
239037680,THEFT,150,20.0,-84.4314978,39.13586778
239037678,ASSAULT,110,120.0,-84.4948552,39.1256335
239037700,CRIMINAL DAMAGING/ENDANGERING,10,20.0,-84.55775237,39.1140145
249000310,CRIMINAL DAMAGING/ENDANGERING,0,0.0,-84.53394906,39.11857179
239037710,THEFT,0,130.0,-84.55811165,39.11207016
239037676,AGGRAVATED MENACING,0,15.0,-84.58252354,39.10890092
239037674,THEFT,2345,2355.0,-84.49571462,39.1262392
249000335,THEFT,220,2330.0,-84.4387435,39.11694839
239037688,BREAKING AND ENTERING,220,90.0,-84.58454569,39.14773275
239037717,THEFT,210,1430.0,-84.49749476,39.12438346
239037729,THEFT,200,70.0,-84.58731087,39.10376519
239037662,BURGLARY,1954,1954.0,-84.45896573,39.20658383
239037681,THEFT,190,26.0,-84.57341925,39.12266391
239037657,THEFT,1855,190.0,-84.50986549,39.13082534
239037656,ASSAULT,1815,1820.0,-84.56809617,39.13439042
239037725,THEFT,180,160.0,-84.54316114,39.19659162
239037697,CRIMINAL DAMAGING/ENDANGERING,180,90.0,-84.56631366,39.10434326
239037652,THEFT,1720,1723.0,-84.57200683,39.11033268
249000115,THEFT,170,80.0,-84.49146792,39.15946247
239037665,BURGLARY,170,180.0,-84.54453114,39.19579162
239037654,THEFT,1645,1650.0,-84.54486761,39.16097458
239026169,AGGRAVATED ROBBERY,1625,1635.0,-84.50459737,39.15920722
249000129,THEFT,1615,170.0,-84.61940728,39.1449123
249000110,THEFT,160,1615.0,-84.45510398,39.2003682
249000040,CRIMINAL DAMAGING/ENDANGERING,160,1.0,-84.50798124,39.18004912
239037792,THEFT,160,130.0,-84.50033984,39.13990423
239037792,BURGLARY,160,130.0,-84.49949984,39.14031423
